_id,name,id,type,url,date,time,url_google,colors,description,iso_date,places
64ca0063bbd6cd0e8ede79e8,IMG_7083,1uVROh0EzNYmzbzoYgdVCqTH29xtC5004,image/jpeg,../assets/photos/IMG_7083.jpg,2022:12:18,10:45:19,https://drive.google.com/uc?id=1uVROh0EzNYmzbzoYgdVCqTH29xtC5004,"[{'h': 110, 's': 2, 'l': 41}, {'h': 218, 's': 78, 'l': 64}, {'h': 73, 's': 20, 'l': 17}]",,2022-12-18T10:45:19.000000Z,['滋賀']
64ca0066bbd6cd0e8ede79ea,IMG_8264,15FIFGpURG4EdIf0ul7Ah9nvyEngwt2wZ,image/jpeg,../assets/photos/IMG_8264.jpg,2022:12:27,13:29:56,https://drive.google.com/uc?id=15FIFGpURG4EdIf0ul7Ah9nvyEngwt2wZ,"[{'h': 102, 's': 10, 'l': 13}, {'h': 215, 's': 64, 'l': 74}, {'h': 43, 's': 19, 'l': 57}]",從東照宮本殿旁邊往後爬可以爬到德川家康的墓，買了有家紋的木頭杯墊。,2022-12-27T13:29:56.000000Z,['栃木']
64ca0067bbd6cd0e8ede79eb,IMG_6807,1Qs8EVYprDvJGUIMB-_xSWFV3U-GIEaYL,image/jpeg,../assets/photos/IMG_6807.jpg,2022:12:03,10:41:36,https://drive.google.com/uc?id=1Qs8EVYprDvJGUIMB-_xSWFV3U-GIEaYL,"[{'h': 180, 's': 2, 'l': 37}, {'h': 220, 's': 29, 'l': 60}]",渡月橋旁的小船。,2022-12-03T10:41:36.000000Z,['京都']
64ca0069bbd6cd0e8ede79ec,IMG_6041,1MUjaZNtdlj3UPC9z5_tn5k_3w4kV11N8,image/jpeg,../assets/photos/IMG_6041.jpg,2022:11:12,14:15:33,https://drive.google.com/uc?id=1MUjaZNtdlj3UPC9z5_tn5k_3w4kV11N8,"[{'h': 7, 's': 6, 'l': 74}, {'h': 217, 's': 63, 'l': 71}, {'h': 214, 's': 21, 'l': 34}]",神大園遊會！各自的舞台都在搶著人,2022-11-12T14:15:33.000000Z,"['神戶大學', '神戶', '兵庫', '六甲']"
64ca006bbbd6cd0e8ede79ed,IMG_1045,1qVUHlKGjr_rblANvA5A_XtBiZgEPbHnh,image/jpeg,../assets/photos/IMG_1045.jpg,2023:03:19,16:48:45,https://drive.google.com/uc?id=1qVUHlKGjr_rblANvA5A_XtBiZgEPbHnh,"[{'h': 217, 's': 38, 'l': 59}, {'h': 227, 's': 10, 'l': 27}, {'h': 41, 's': 20, 'l': 77}]",三宮 JR 站的後面，這天天氣很好，偶爾會有樂團在這表演。經常性的有攤販、可以坐著吃東西、聊天。最近剛做好的一個小型日式園藝造景，去裡面晃了一下，不小心踩到芝生上面了。,2023-03-19T16:48:45.000000Z,"['三宮', '神戶', '兵庫']"
64ca006cbbd6cd0e8ede79ee,IMG_1229,14-l84VwjZFqWGCz6EfDtEkToqtDnJEsw,image/jpeg,../assets/photos/IMG_1229.jpg,2023:03:22,15:12:57,https://drive.google.com/uc?id=14-l84VwjZFqWGCz6EfDtEkToqtDnJEsw,"[{'h': 231, 's': 4, 'l': 33}, {'h': 216, 's': 86, 'l': 74}, {'h': 55, 's': 17, 'l': 55}]",純粹覺得顏色很好看。在廟後面，看過瀑布之後繞過去想散散步。,2023-03-22T15:12:57.000000Z,['大阪']
64ca0070bbd6cd0e8ede79f0,IMG_0087,1JhTWksrUFF4P4mI_-YV5XzT_JEapiKAf,image/jpeg,../assets/photos/IMG_0087.jpg,2023:02:18,10:05:14,https://drive.google.com/uc?id=1JhTWksrUFF4P4mI_-YV5XzT_JEapiKAf,"[{'h': 205, 's': 8, 'l': 84}, {'h': 210, 's': 2, 'l': 36}]",今天要和台灣小夥伴在高山會合，預計從富山搭觀光列車去砺波（となみ）然後再一路經過兩個小合掌村，完成合掌村世界遺產巡禮。,2023-02-18T10:05:14.000000Z,['富山']
64ca0072bbd6cd0e8ede79f1,IMG_5913,1pgMlkBaVsMHryp1detxHohWHzB2hi6tV,image/jpeg,../assets/photos/IMG_5913.jpg,2022:11:05,16:44:08,https://drive.google.com/uc?id=1pgMlkBaVsMHryp1detxHohWHzB2hi6tV,"[{'h': 210, 's': 8, 'l': 45}, {'h': 60, 's': 4, 'l': 63}, {'h': 50, 's': 4, 'l': 23}]",所有人都在等待。,2022-11-05T16:44:08.000000Z,['兵庫']
64ca0073bbd6cd0e8ede79f2,IMG_0707,1qAWrzu7F02PtCBk1ioO93xNxOryplipi,image/jpeg,../assets/photos/IMG_0707.jpg,2023:03:04,21:47:59,https://drive.google.com/uc?id=1qAWrzu7F02PtCBk1ioO93xNxOryplipi,"[{'h': 219, 's': 23, 'l': 2}, {'h': 26, 's': 39, 'l': 22}]",大阪的路上真的很像台灣，不過還是整齊滿多就是了。,2023-03-04T21:47:59.000000Z,['大阪']
64ca0078bbd6cd0e8ede79f4,IMG_0642,1RqNUgc7-s8jMme3DGOyfmPLF5n1rlDJr,image/jpeg,../assets/photos/IMG_0642.jpg,2023:02:28,15:22:36,https://drive.google.com/uc?id=1RqNUgc7-s8jMme3DGOyfmPLF5n1rlDJr,"[{'h': 209, 's': 2, 'l': 41}, {'h': 34, 's': 22, 'l': 55}, {'h': 225, 's': 11, 'l': 20}]",,2023-02-28T15:22:36.000000Z,"['兵庫', '神戶', 'ポートアイランド']"
64ca007abbd6cd0e8ede79f5,IMG_6145,1nEGFslIP-6nTRDR8gTtDPDP7yKcbLt6u,image/jpeg,../assets/photos/IMG_6145.jpg,2022:11:13,15:09:22,https://drive.google.com/uc?id=1nEGFslIP-6nTRDR8gTtDPDP7yKcbLt6u,"[{'h': 156, 's': 4, 'l': 44}, {'h': 29, 's': 5, 'l': 73}]",銀閣寺的沙地，很有日式庭院的造景藝術。不知道這些東西的用途。但很「銀」。,2022-11-13T15:09:22.000000Z,['京都']
64ca007cbbd6cd0e8ede79f6,IMG_7241,1cI6NzmvLu6iidrYVDJdtz5tSrikaMKJn,image/jpeg,../assets/photos/IMG_7241.jpg,2022:12:18,18:00:34,https://drive.google.com/uc?id=1cI6NzmvLu6iidrYVDJdtz5tSrikaMKJn,"[{'h': 50, 's': 20, 'l': 5}, {'h': 0, 's': 2, 'l': 40}, {'h': 35, 's': 25, 'l': 77}]",總是回到小寶吃晚餐。,2022-12-18T18:00:34.000000Z,['京都']
64ca007fbbd6cd0e8ede79f8,IMG_5293,1oAQwDTvcHf9zp6OMEkomKGYCo1JqD2Wo,image/jpeg,../assets/photos/IMG_5293.jpg,2022:10:10,16:37:14,https://drive.google.com/uc?id=1oAQwDTvcHf9zp6OMEkomKGYCo1JqD2Wo,"[{'h': 84, 's': 5, 'l': 45}, {'h': 231, 's': 15, 'l': 81}, {'h': 90, 's': 7, 'l': 20}]",鴨川橋下的女學生在玩著仙女棒。,2022-10-10T16:37:14.000000Z,['京都']
